country,predictor,coef,se
Nepal,age,0.08094652740494482,0.0030704978868487686
Nepal,no_stories,0.36888184016410713,0.00277671219249495
Nepal,floor_area_m2,-0.3492532174188614,0.0028449123260199214
Nepal,total_height_m,-0.13539248487242667,0.0027221656751488256
Nepal,hazard_proxy_distance_km,-0.43260552492153964,0.0025333380431172333
Türkiye,age,-0.022685532854511203,0.13889672002158215
Türkiye,no_stories,0.6188051548279658,0.5663060185914919
Türkiye,floor_area_m2,0.21103524699072285,0.14597485016388037
Türkiye,total_height_m,-0.18703504779436683,0.5573565196460225
Türkiye,hazard_proxy_distance_km,-0.4443149030296243,0.15550356096221127
