metric,value,model,split_id,feature_set,indicator,country
accuracy,0.7311380595981364,rf,1,F0,TRUE,Pooled3
sensitivity,0.8315239697914957,rf,1,F0,TRUE,Pooled3
specificity,0.6133432868168519,rf,1,F0,TRUE,Pooled3
precision,0.7161908970393284,rf,1,F0,TRUE,Pooled3
f1,0.7695602214561789,rf,1,F0,TRUE,Pooled3
auc,0.7889501203490007,rf,1,F0,TRUE,Pooled3
brier,0.1886968236100801,rf,1,F0,TRUE,Pooled3
accuracy,0.7313928945371145,rf,2,F0,TRUE,Pooled3
sensitivity,0.8325005631437757,rf,2,F0,TRUE,Pooled3
specificity,0.6121941503808409,rf,2,F0,TRUE,Pooled3
precision,0.7167780383306592,rf,2,F0,TRUE,Pooled3
f1,0.7703173851255329,rf,2,F0,TRUE,Pooled3
auc,0.7900764071468712,rf,2,F0,TRUE,Pooled3
brier,0.18742645061520935,rf,2,F0,TRUE,Pooled3
accuracy,0.7275260513326205,rf,3,F0,TRUE,Pooled3
sensitivity,0.8271895801397133,rf,3,F0,TRUE,Pooled3
specificity,0.6112471492017765,rf,3,F0,TRUE,Pooled3
precision,0.7128532037698712,rf,3,F0,TRUE,Pooled3
f1,0.7657770920243061,rf,3,F0,TRUE,Pooled3
auc,0.7870367104058695,rf,3,F0,TRUE,Pooled3
brier,0.1892333912121308,rf,3,F0,TRUE,Pooled3
accuracy,0.7334703532787838,rf,4,F0,TRUE,Pooled3
sensitivity,0.8328181297084835,rf,4,F0,TRUE,Pooled3
specificity,0.6162679772499486,rf,4,F0,TRUE,Pooled3
precision,0.7191292281312698,rf,4,F0,TRUE,Pooled3
f1,0.7718095021272358,rf,4,F0,TRUE,Pooled3
auc,0.7921943737850462,rf,4,F0,TRUE,Pooled3
brier,0.18812202245157564,rf,4,F0,TRUE,Pooled3
accuracy,0.7308041748842157,rf,5,F0,TRUE,Pooled3
sensitivity,0.8290624551916262,rf,5,F0,TRUE,Pooled3
specificity,0.6150355979244599,rf,5,F0,TRUE,Pooled3
precision,0.717306158617634,rf,5,F0,TRUE,Pooled3
f1,0.7691459845691916,rf,5,F0,TRUE,Pooled3
auc,0.7889040453231905,rf,5,F0,TRUE,Pooled3
brier,0.18767847315987277,rf,5,F0,TRUE,Pooled3
accuracy,0.7194615256772477,rf,1,F0,FALSE,Pooled3_no_ind
sensitivity,0.8457233639112387,rf,1,F0,FALSE,Pooled3_no_ind
specificity,0.5709446018445958,rf,1,F0,FALSE,Pooled3_no_ind
precision,0.6986647022463823,rf,1,F0,FALSE,Pooled3_no_ind
f1,0.765192473547059,rf,1,F0,FALSE,Pooled3_no_ind
auc,0.7856371094157072,rf,1,F0,FALSE,Pooled3_no_ind
brier,0.18826500937010052,rf,1,F0,FALSE,Pooled3_no_ind
accuracy,0.7177093662919855,rf,2,F0,FALSE,Pooled3_no_ind
sensitivity,0.844022770398482,rf,2,F0,FALSE,Pooled3_no_ind
specificity,0.569361794396126,rf,2,F0,FALSE,Pooled3_no_ind
precision,0.6971373382922305,rf,2,F0,FALSE,Pooled3_no_ind
f1,0.7635803500176308,rf,2,F0,FALSE,Pooled3_no_ind
auc,0.7836940885356176,rf,2,F0,FALSE,Pooled3_no_ind
brier,0.1892908254918173,rf,2,F0,FALSE,Pooled3_no_ind
accuracy,0.7205402500706336,rf,3,F0,FALSE,Pooled3_no_ind
sensitivity,0.8470326880355443,rf,3,F0,FALSE,Pooled3_no_ind
specificity,0.5713647558796542,rf,3,F0,FALSE,Pooled3_no_ind
precision,0.6997429001539216,rf,3,F0,FALSE,Pooled3_no_ind
f1,0.7663750503651766,rf,3,F0,FALSE,Pooled3_no_ind
auc,0.7859177531672874,rf,3,F0,FALSE,Pooled3_no_ind
brier,0.1880110202956463,rf,3,F0,FALSE,Pooled3_no_ind
accuracy,0.7177576617102843,rf,4,F0,FALSE,Pooled3_no_ind
sensitivity,0.8458641975308642,rf,4,F0,FALSE,Pooled3_no_ind
specificity,0.568288759782974,rf,4,F0,FALSE,Pooled3_no_ind
precision,0.6956838123926453,rf,4,F0,FALSE,Pooled3_no_ind
f1,0.7634585830822302,rf,4,F0,FALSE,Pooled3_no_ind
auc,0.7834789852658419,rf,4,F0,FALSE,Pooled3_no_ind
brier,0.1891898374642156,rf,4,F0,FALSE,Pooled3_no_ind
accuracy,0.7185997296518714,rf,5,F0,FALSE,Pooled3_no_ind
sensitivity,0.8452831733426122,rf,5,F0,FALSE,Pooled3_no_ind
specificity,0.5690871319177718,rf,5,F0,FALSE,Pooled3_no_ind
precision,0.6983504265555114,rf,5,F0,FALSE,Pooled3_no_ind
f1,0.764823808840347,rf,5,F0,FALSE,Pooled3_no_ind
auc,0.7843583827838307,rf,5,F0,FALSE,Pooled3_no_ind
brier,0.18864102081062598,rf,5,F0,FALSE,Pooled3_no_ind
