task,metric,feature_set,model,mean_value,sd_value
5class,macro_f1,K1,nnet,0.36399973027865096,0.0971822944528281
5class,macro_f1,K1,polr,0.5312963528195497,0.001333275883273424
5class,macro_f1,K1,rf,0.3066552442160018,0.001280462994897271
5class,macro_f1,K2,nnet,0.25892140141130526,0.0443451419310207
5class,macro_f1,K2,polr,0.19867373981822042,0.002918288232215062
5class,macro_f1,K2,rf,0.3070026940485734,0.0010051813821601464
5class,macro_f1,K3,nnet,0.31826393398019587,0.03378194987237837
5class,macro_f1,K3,polr,0.2015445316901765,0.0021586017888564736
5class,macro_f1,K3,rf,0.327552718077696,0.0015748676965728042
5class,macro_f1,K4,nnet,0.2963170760407869,0.06420024288014956
5class,macro_f1,K4,polr,0.2059368907772249,0.0015061192270403674
5class,macro_f1,K4,rf,0.3722736637365605,8.845607048559416e-4
5class,macro_f1,K5,nnet,0.2893715406823204,0.026555107423117758
5class,macro_f1,K5,polr,0.24584448656838717,0.0015596609776811748
5class,macro_f1,K5,rf,0.3932166334216828,0.00127234674166377
binary,auc,K1,logistic,0.6222365365444611,0.0016477350735381478
binary,auc,K1,nnet,0.6393834473956678,0.12374376721332322
binary,auc,K1,rf,0.7695020086033192,0.0011732367853017048
binary,auc,K2,logistic,0.6624411974889144,0.0020566463382861366
binary,auc,K2,nnet,0.6670354165976287,0.08930162091388728
binary,auc,K2,rf,0.7741654791050087,0.0011344346210202878
binary,auc,K3,logistic,0.668165523432759,0.0017462173165410074
binary,auc,K3,nnet,0.7617307682309885,0.019142258756201198
binary,auc,K3,rf,0.7938001646200316,0.0010157492997669975
binary,auc,K4,logistic,0.6708381642062549,0.0016334767241217444
binary,auc,K4,nnet,0.7527515007701508,0.024827964156413307
binary,auc,K4,rf,0.8163637820022852,0.0012018572913789507
binary,auc,K5,logistic,0.6862987366126823,0.0016663229404601514
binary,auc,K5,nnet,0.7678102053410111,0.013988772846715389
binary,auc,K5,rf,0.8265397290913135,9.043616529037304e-4
