metric,value,model,task,split_id,cv_scheme
accuracy,0.6836758739722189,rf,binary,1,grouped_vdcmun
sensitivity,0.7559065133287403,rf,binary,1,grouped_vdcmun
specificity,0.5749345758600881,rf,binary,1,grouped_vdcmun
precision,0.7280560262980583,rf,binary,1,grouped_vdcmun
f1,0.7417199257406435,rf,binary,1,grouped_vdcmun
auc,0.7368226254465319,rf,binary,1,grouped_vdcmun
brier,0.20394563771660754,rf,binary,1,grouped_vdcmun
accuracy,0.6933050616771014,rf,binary,2,grouped_vdcmun
sensitivity,0.8002958941628151,rf,binary,2,grouped_vdcmun
specificity,0.5419463087248322,rf,binary,2,grouped_vdcmun
precision,0.7119564035068636,rf,binary,2,grouped_vdcmun
f1,0.7535459359889476,rf,binary,2,grouped_vdcmun
auc,0.748023286066396,rf,binary,2,grouped_vdcmun
brier,0.2017041633473955,rf,binary,2,grouped_vdcmun
accuracy,0.7844077757406276,rf,binary,3,grouped_vdcmun
sensitivity,0.8121804066705356,rf,binary,3,grouped_vdcmun
specificity,0.7485140948715046,rf,binary,3,grouped_vdcmun
precision,0.806721409538311,rf,binary,3,grouped_vdcmun
f1,0.8094417041337466,rf,binary,3,grouped_vdcmun
auc,0.8593529325268308,rf,binary,3,grouped_vdcmun
brier,0.15065167674313262,rf,binary,3,grouped_vdcmun
accuracy,0.7821792536431666,rf,binary,4,grouped_vdcmun
sensitivity,0.887870174265225,rf,binary,4,grouped_vdcmun
specificity,0.5747210269126979,rf,binary,4,grouped_vdcmun
precision,0.8038434043984694,rf,binary,4,grouped_vdcmun
f1,0.8437700004855291,rf,binary,4,grouped_vdcmun
auc,0.8240259294494003,rf,binary,4,grouped_vdcmun
brier,0.15639212430036092,rf,binary,4,grouped_vdcmun
accuracy,0.717609010184686,rf,binary,5,grouped_vdcmun
sensitivity,0.8282011834319527,rf,binary,5,grouped_vdcmun
specificity,0.5521983857264231,rf,binary,5,grouped_vdcmun
precision,0.7344829033815411,rf,binary,5,grouped_vdcmun
f1,0.7785317773748207,rf,binary,5,grouped_vdcmun
auc,0.7565902905206467,rf,binary,5,grouped_vdcmun
brier,0.19327819554343373,rf,binary,5,grouped_vdcmun
